umap_x,umap_y,cluster,model
10.069031,7.0210485,0,KMeans
8.619573,5.801372,0,KMeans
9.533327,1.9280351,3,KMeans
11.531305,2.9676955,3,KMeans
9.637845,10.950306,2,KMeans
9.649179,9.624008,0,KMeans
9.039013,6.074377,0,KMeans
10.231828,2.1152172,3,KMeans
8.568633,-0.66655135,3,KMeans
10.891547,6.176074,0,KMeans
10.049442,8.908776,0,KMeans
12.568798,13.510857,2,KMeans
12.648742,8.7040415,2,KMeans
9.576478,1.9660299,3,KMeans
10.308681,9.956425,2,KMeans
11.80616,8.408247,0,KMeans
8.599105,8.469646,0,KMeans
12.840319,1.5692018,2,KMeans
11.690035,6.1400466,0,KMeans
10.20038,5.290858,0,KMeans
10.201085,7.053919,0,KMeans
11.239942,7.7108436,0,KMeans
8.635691,8.552426,0,KMeans
12.468472,2.4442382,3,KMeans
8.343318,4.5928926,0,KMeans
7.4143586,10.050971,2,KMeans
12.382273,7.280702,0,KMeans
12.783016,13.490712,2,KMeans
10.371802,7.189268,0,KMeans
10.110242,3.5605564,0,KMeans
7.9638762,8.914929,0,KMeans
10.102224,8.461144,0,KMeans
9.7760315,1.7906529,3,KMeans
10.403032,6.1794815,0,KMeans
9.944656,8.384409,0,KMeans
9.1804695,3.0757005,0,KMeans
12.206995,13.539816,2,KMeans
10.7884245,7.191611,0,KMeans
9.680191,9.29299,0,KMeans
10.9866705,3.9709454,0,KMeans
7.8974543,8.5618725,0,KMeans
8.629034,2.1630788,3,KMeans
10.961738,8.983779,0,KMeans
13.2959585,13.504525,2,KMeans
12.1987,0.7042566,3,KMeans
11.394543,7.602786,0,KMeans
8.82001,8.065943,0,KMeans
9.999022,0.20176353,3,KMeans
8.211675,6.056823,0,KMeans
10.04593,7.0969353,0,KMeans
9.245858,10.519458,2,KMeans
8.200996,11.127152,2,KMeans
11.382891,2.1778734,3,KMeans
11.547016,0.59173495,3,KMeans
11.1827965,7.415291,0,KMeans
8.78083,2.0116026,3,KMeans
9.564162,3.5562086,0,KMeans
8.962996,3.2806737,3,KMeans
13.24827,11.787338,2,KMeans
9.119778,3.0175536,0,KMeans
8.60422,8.335504,0,KMeans
9.993294,2.9742324,3,KMeans
9.82865,3.4158263,0,KMeans
11.261185,1.2692055,3,KMeans
10.4491005,7.6455603,0,KMeans
13.0805435,11.656269,2,KMeans
12.986717,11.748023,2,KMeans
9.806001,10.326574,2,KMeans
10.710093,9.83746,2,KMeans
12.738454,-0.11845432,3,KMeans
12.096911,10.552494,2,KMeans
10.421952,8.648786,0,KMeans
11.757357,3.4564192,3,KMeans
10.960791,8.108192,0,KMeans
9.238081,6.7814217,0,KMeans
9.56121,7.520963,0,KMeans
12.161787,12.094631,2,KMeans
12.463721,12.112278,2,KMeans
10.561121,8.27442,0,KMeans
13.651181,13.627574,2,KMeans
7.630881,10.746113,2,KMeans
10.054546,8.718393,0,KMeans
11.89435,9.162249,2,KMeans
9.616807,9.927391,2,KMeans
7.6253824,8.100435,0,KMeans
7.8200855,5.5561256,0,KMeans
12.873945,10.518873,2,KMeans
9.1710825,6.9200153,0,KMeans
9.449034,-0.6779058,3,KMeans
8.843158,8.305791,0,KMeans
11.398326,3.260725,3,KMeans
9.056308,6.2490296,0,KMeans
10.060102,6.266518,0,KMeans
10.150232,7.888376,0,KMeans
9.067574,3.235949,0,KMeans
8.438802,3.8644226,0,KMeans
9.68641,1.0249637,3,KMeans
8.410014,9.559606,0,KMeans
9.2125,6.466193,0,KMeans
12.264373,2.2197714,3,KMeans
9.239995,7.6134787,0,KMeans
10.42612,12.445689,2,KMeans
10.549363,5.802595,0,KMeans
11.003964,12.774569,2,KMeans
10.5094595,0.5681005,3,KMeans
8.172074,9.0208645,0,KMeans
8.140664,8.10417,0,KMeans
9.89727,4.32264,0,KMeans
13.219904,11.903773,2,KMeans
9.31882,2.0024145,3,KMeans
12.43072,2.4446328,3,KMeans
13.126833,13.794871,2,KMeans
10.178537,1.4347551,3,KMeans
7.6709294,6.0252776,0,KMeans
11.251589,7.7602286,0,KMeans
7.7202253,8.056428,0,KMeans
12.020249,13.644186,2,KMeans
9.98797,11.645366,2,KMeans
7.621465,9.984952,0,KMeans
10.116906,7.78311,0,KMeans
9.1028385,8.062962,0,KMeans
11.2149,8.127636,0,KMeans
10.083347,6.393359,0,KMeans
7.1907887,9.607207,0,KMeans
10.735374,0.3128552,3,KMeans
9.198188,7.7252035,0,KMeans
12.583677,1.5721544,2,KMeans
8.583481,1.1045192,3,KMeans
12.990041,0.8277568,2,KMeans
9.773023,8.858984,0,KMeans
9.811044,4.3806796,0,KMeans
10.168067,7.3192487,0,KMeans
11.774148,4.5175457,0,KMeans
11.14555,2.4378269,3,KMeans
9.795491,5.8376274,0,KMeans
11.058659,12.4860525,2,KMeans
10.42603,-0.93742865,3,KMeans
11.972059,10.171898,2,KMeans
9.017675,10.375126,2,KMeans
13.770493,13.564723,2,KMeans
12.576188,1.5501807,3,KMeans
10.14167,11.03,2,KMeans
10.838909,2.6135728,3,KMeans
9.784944,5.8489027,0,KMeans
11.140537,6.2339354,0,KMeans
9.889797,9.075806,0,KMeans
11.199428,3.5243921,3,KMeans
8.740316,5.914351,0,KMeans
9.040218,10.3834095,2,KMeans
10.956035,9.060381,0,KMeans
11.522953,12.837457,2,KMeans
10.006968,11.764174,2,KMeans
7.1450343,9.200132,0,KMeans
12.34274,1.8749517,3,KMeans
11.369302,10.392256,2,KMeans
12.071525,0.7950734,3,KMeans
11.952328,3.057973,3,KMeans
12.264508,2.612584,3,KMeans
8.912096,9.559138,0,KMeans
9.153805,1.2849919,3,KMeans
11.174818,6.0577145,0,KMeans
9.082701,2.8355103,0,KMeans
10.464115,8.234609,0,KMeans
9.719284,3.5573978,0,KMeans
11.354214,2.1400366,3,KMeans
10.112347,11.835827,2,KMeans
9.29816,5.9468417,0,KMeans
8.487412,6.473685,0,KMeans
12.653036,12.283327,2,KMeans
13.323722,13.685939,2,KMeans
12.689695,10.713638,2,KMeans
12.518403,13.385496,2,KMeans
10.351896,0.5932528,3,KMeans
9.566224,2.774517,0,KMeans
10.287387,1.7728089,3,KMeans
9.327633,9.730307,0,KMeans
8.359784,10.489082,2,KMeans
8.932235,6.868492,0,KMeans
9.016595,8.767371,0,KMeans
9.780318,7.4467936,0,KMeans
10.321555,5.8449817,0,KMeans
10.734836,2.6848927,3,KMeans
9.076683,1.204756,3,KMeans
12.943855,13.291338,2,KMeans
11.927836,4.1832213,0,KMeans
9.282494,4.4335837,0,KMeans
8.435314,1.5978322,0,KMeans
11.57867,10.8518305,2,KMeans
7.8136187,6.5801363,0,KMeans
12.788844,13.276259,2,KMeans
10.287549,7.205438,0,KMeans
9.274634,1.3711504,3,KMeans
8.977325,2.28531,3,KMeans
11.478459,11.394536,2,KMeans
10.719561,-0.628936,3,KMeans
8.301475,10.750944,2,KMeans
9.526867,12.064785,2,KMeans
8.941919,10.408506,2,KMeans
12.127094,-0.52828264,3,KMeans
7.0131564,9.49002,0,KMeans
10.102025,6.463947,0,KMeans
9.100429,8.929631,0,KMeans
8.553173,1.146182,3,KMeans
10.445289,-0.36491862,3,KMeans
11.365911,7.590391,0,KMeans
11.265842,11.084825,2,KMeans
12.064437,3.5233626,2,KMeans
10.220222,7.372489,0,KMeans
7.903174,10.727586,2,KMeans
10.91621,10.759872,2,KMeans
10.630191,-0.58428705,3,KMeans
10.905034,12.646325,2,KMeans
9.777045,10.322486,2,KMeans
12.502011,10.586609,2,KMeans
8.649969,-0.17225596,3,KMeans
10.118527,6.9717445,0,KMeans
11.794682,7.2670245,0,KMeans
9.351172,-0.29219556,3,KMeans
10.472117,11.907123,2,KMeans
10.355184,9.068182,0,KMeans
10.179594,7.8244267,0,KMeans
11.765479,6.2601333,0,KMeans
8.446381,10.275006,2,KMeans
11.929535,10.7432,2,KMeans
11.412771,0.1958809,3,KMeans
12.811825,12.988327,2,KMeans
11.461996,8.756467,0,KMeans
8.67485,8.194466,0,KMeans
7.9959593,3.181081,0,KMeans
11.840802,2.8601635,2,KMeans
10.406621,0.7506819,3,KMeans
10.811506,1.9947953,3,KMeans
6.412575,2.9870994,1,KMeans
8.128073,8.993781,0,KMeans
11.538822,3.2735128,3,KMeans
9.167942,5.097458,0,KMeans
9.640497,0.43285275,3,KMeans
10.906335,11.375645,2,KMeans
12.273377,7.3801746,0,KMeans
11.052628,4.3670497,0,KMeans
10.279588,5.082816,0,KMeans
10.655218,5.3650403,0,KMeans
13.344371,11.451117,2,KMeans
9.9286785,7.443423,0,KMeans
11.034424,12.348203,2,KMeans
11.935999,3.3520107,3,KMeans
10.991481,1.093725,3,KMeans
8.548902,4.423226,0,KMeans
11.347405,-0.09436551,3,KMeans
9.645286,11.003946,2,KMeans
8.712224,4.3324356,0,KMeans
8.940859,1.9164213,3,KMeans
6.6096916,2.7080433,3,KMeans
8.54576,3.7118633,0,KMeans
8.571027,-0.82873136,3,KMeans
10.4751005,8.063761,0,KMeans
11.668968,5.9676714,0,KMeans
13.141066,10.228818,2,KMeans
11.604561,2.7421324,3,KMeans
10.061052,9.871241,2,KMeans
11.329351,4.6360755,0,KMeans
8.979239,7.9053082,0,KMeans
10.038143,-0.094518326,3,KMeans
7.4556217,9.302062,0,KMeans
9.744447,5.259595,0,KMeans
10.369579,8.179096,0,KMeans
10.770746,10.404018,2,KMeans
11.177278,12.522293,2,KMeans
12.933538,1.0735577,2,KMeans
9.918528,6.768871,0,KMeans
9.125808,9.703197,0,KMeans
11.69985,4.704016,0,KMeans
10.790806,2.4515712,3,KMeans
9.436293,8.903511,0,KMeans
8.647324,7.4344773,0,KMeans
7.7325864,7.64337,0,KMeans
10.045005,10.327757,2,KMeans
10.459694,6.4995246,0,KMeans
7.897287,10.426082,2,KMeans
8.046801,6.2438574,0,KMeans
11.877295,-0.7491272,3,KMeans
5.787001,2.5750062,1,KMeans
8.143523,6.89392,0,KMeans
10.944213,8.442209,0,KMeans
9.038419,2.706314,0,KMeans
8.116702,6.6402907,0,KMeans
9.531312,9.846473,2,KMeans
8.944673,10.304067,2,KMeans
10.374099,-0.71268964,3,KMeans
9.270205,4.794254,0,KMeans
9.487855,5.095106,0,KMeans
11.362531,4.5225377,0,KMeans
10.380551,2.4442947,3,KMeans
8.831653,11.739472,2,KMeans
11.314575,10.303951,2,KMeans
12.189918,2.1459618,3,KMeans
7.9775276,3.2938416,0,KMeans
9.53503,-0.50917035,3,KMeans
9.104088,4.385975,0,KMeans
10.137736,10.303687,2,KMeans
10.676041,3.4663014,0,KMeans
9.173808,-0.5671093,3,KMeans
12.380136,0.1163881,3,KMeans
10.555191,-0.6839297,3,KMeans
9.322295,2.589342,3,KMeans
12.498654,7.812177,2,KMeans
7.134423,2.6803045,3,KMeans
9.985597,1.1835641,3,KMeans
11.522745,9.809591,2,KMeans
9.325083,6.3739357,0,KMeans
8.922883,1.1707636,3,KMeans
11.440939,4.597901,0,KMeans
9.882661,3.1255176,3,KMeans
