noise_level,ari,model
0.01,0.9773181301789213,Hybrid_GMM
0.02,0.9532591227959216,Hybrid_GMM
0.05,0.8718261873427889,Hybrid_GMM
0.1,0.6623941357641437,Hybrid_GMM
