umap_x,umap_y,cluster,confidence,entropy,model
10.812443,-0.25826448,2,0.9936350079411811,0.03856695735729974,Hybrid_GMM
11.307721,0.71666604,2,0.7550314923860225,0.5679165920722704,Hybrid_GMM
10.578226,3.745259,2,0.7463130931961462,0.5722442606253784,Hybrid_GMM
11.1149645,7.943635,1,0.9999999797269583,3.793891763033523e-07,Hybrid_GMM
13.944271,0.62872565,2,0.91271329389873,0.2967101780934211,Hybrid_GMM
7.5442033,9.295261,3,0.99998731258468,0.00015696357467095235,Hybrid_GMM
10.820703,5.4255514,0,0.5139359315167472,0.7201429048949128,Hybrid_GMM
9.519728,5.744025,0,0.7837088007591344,0.5344891233043425,Hybrid_GMM
11.642866,3.33169,0,0.49252477683165513,0.8165606296234883,Hybrid_GMM
6.5941415,0.9199962,2,0.9993867137902782,0.0051493792686769955,Hybrid_GMM
9.369327,1.8156335,2,0.967448816235145,0.14372358757315248,Hybrid_GMM
9.969159,3.3484006,2,0.5158655231029716,0.7002098363326383,Hybrid_GMM
12.595733,0.47621936,0,0.8671342754641526,0.3943971787462333,Hybrid_GMM
7.2677884,4.03512,0,0.9999821144977216,0.00022014414276765108,Hybrid_GMM
7.3461175,0.6466938,2,0.9984456604629668,0.011604620911602845,Hybrid_GMM
12.382746,6.232481,0,0.5432581317200171,0.7345193218107797,Hybrid_GMM
14.20196,2.31938,2,0.8985851653204616,0.33322179247091044,Hybrid_GMM
10.417185,1.3934567,2,0.9966221713324193,0.02261642552806291,Hybrid_GMM
9.8916855,4.1985555,2,0.8787219549304901,0.37053854496450983,Hybrid_GMM
8.999975,0.039396826,0,0.666539680008489,0.6413280688532251,Hybrid_GMM
10.64991,5.944128,0,0.8473875868015349,0.44786400551972255,Hybrid_GMM
7.915341,6.7003684,0,0.9739108400293145,0.12170371266930576,Hybrid_GMM
9.218151,2.1916065,2,0.9907185895934261,0.05268331369743982,Hybrid_GMM
8.487846,8.405464,3,0.8841831077230075,0.359316320878871,Hybrid_GMM
11.363888,2.0569856,2,0.9968211480908185,0.021692510677846225,Hybrid_GMM
8.985111,0.062297102,2,0.9982810256773587,0.012667553826638268,Hybrid_GMM
7.8694944,9.305225,3,0.9999909918166915,0.00011366112795384367,Hybrid_GMM
7.4330277,5.8013988,0,0.9939948081445362,0.03742065406437181,Hybrid_GMM
10.765897,1.3930129,2,0.9964217165459772,0.023762861530151027,Hybrid_GMM
12.709171,5.908675,0,0.5079265519953511,0.7181419923317833,Hybrid_GMM
9.050676,1.1279641,2,0.9940963676863939,0.03620932944276977,Hybrid_GMM
14.302421,6.1276994,2,0.6353467494618376,0.8842185240296545,Hybrid_GMM
8.396127,1.3276076,2,0.996405552386187,0.023819091993259083,Hybrid_GMM
9.852786,8.207692,0,0.8140042801111765,0.4938676618403992,Hybrid_GMM
12.119962,0.42849833,2,0.9931952430930728,0.040751103625535884,Hybrid_GMM
8.562033,5.933906,0,0.9761110570518774,0.11347338843801488,Hybrid_GMM
10.348452,4.906761,0,0.9298468434862005,0.3245593752840922,Hybrid_GMM
8.346202,1.9924861,2,0.9928167339749518,0.04261517941511598,Hybrid_GMM
8.261562,6.5465336,0,0.9163135480838772,0.29151517286763706,Hybrid_GMM
8.461535,8.229878,0,0.7639708776335951,0.553707277024196,Hybrid_GMM
8.935319,6.030702,0,0.9704893594570063,0.1349079413198625,Hybrid_GMM
10.109914,3.5721853,2,0.809948239740561,0.4935858478520212,Hybrid_GMM
9.08604,5.902163,0,0.9806704016925932,0.11149930772411973,Hybrid_GMM
14.301242,4.560467,2,0.9956370925825314,0.030281975325955345,Hybrid_GMM
10.2677555,3.5979266,0,0.8430828894828821,0.49747319703693355,Hybrid_GMM
7.1582246,5.982292,3,0.978010215997403,0.10571930828885741,Hybrid_GMM
12.4269285,4.954669,2,0.9422531231303074,0.2246377780049138,Hybrid_GMM
6.7893806,7.7435308,3,0.985792694385312,0.07457677767803653,Hybrid_GMM
11.444512,4.490036,0,0.5540695617626481,0.7448830028248978,Hybrid_GMM
7.228954,5.196821,0,0.998783665809238,0.00958279656537943,Hybrid_GMM
9.535625,3.6922157,2,0.7153798462969795,0.5981073829113643,Hybrid_GMM
8.53614,3.5512278,2,0.6729890705383461,0.6322234765675586,Hybrid_GMM
13.792138,4.6627507,2,0.5984458439567438,0.7137757557287805,Hybrid_GMM
8.19749,6.781279,0,0.6912464824109144,0.6195265848309708,Hybrid_GMM
14.907875,5.5103292,2,0.9894786863699063,0.06567583713533026,Hybrid_GMM
8.036516,8.195606,0,0.8817793528947118,0.3641566234709019,Hybrid_GMM
12.025287,5.6472654,2,0.6013306792667892,0.7372104450082655,Hybrid_GMM
8.24245,1.5124627,2,0.9900128716165997,0.0559525810859983,Hybrid_GMM
9.1704445,1.2848371,2,0.9920929715966103,0.04614960777006032,Hybrid_GMM
12.512599,4.5224366,2,0.6063315955870281,0.7231423371344827,Hybrid_GMM
2.5520782,6.916492,1,1.0,1.1433834072305368e-22,Hybrid_GMM
7.1854563,8.263204,3,0.8069060060901329,0.4907465901341642,Hybrid_GMM
9.8396,2.6387563,2,0.9579259012736299,0.1747028876182603,Hybrid_GMM
7.9489346,5.846582,0,0.9933823357377741,0.04035697418172685,Hybrid_GMM
11.055488,2.6353664,2,0.9903954034804626,0.05436015548741848,Hybrid_GMM
10.0305,3.1145434,0,0.6842799065493833,0.6529364784686528,Hybrid_GMM
10.950831,5.8290977,0,0.6696575243711967,0.683852001567427,Hybrid_GMM
5.6976886,4.9190025,0,0.9999999962771362,7.59791084885229e-08,Hybrid_GMM
9.127052,4.5420723,0,0.887281310804075,0.35513074624894525,Hybrid_GMM
1.386325,7.011766,1,1.0,1.576990101411658e-74,Hybrid_GMM
11.165145,6.4040174,0,0.949604073660278,0.20774253821365435,Hybrid_GMM
8.4335165,-0.19648694,2,0.997609964807008,0.016814815208945774,Hybrid_GMM
7.025995,1.0036955,0,0.9592891853061141,0.17024627894205255,Hybrid_GMM
13.233249,2.9046612,2,0.9777186973860496,0.11480401782598512,Hybrid_GMM
2.9060135,7.071401,1,0.9999999999966676,9.139098258984199e-11,Hybrid_GMM
11.582132,3.6171932,2,0.929257798815093,0.25779637976787156,Hybrid_GMM
12.359453,5.901661,1,0.4251243429715834,1.0765748950839416,Hybrid_GMM
9.155281,7.9731054,0,0.8006836358514394,0.49962419605664454,Hybrid_GMM
13.129978,6.5453625,2,0.9193978712987706,0.31202451235531703,Hybrid_GMM
12.570242,2.9715993,2,0.9968190529260764,0.022797600561637498,Hybrid_GMM
9.162765,8.780124,3,0.9920753555135019,0.04637430715772842,Hybrid_GMM
12.3580675,1.4153928,2,0.975282684201659,0.11623835671878315,Hybrid_GMM
9.775154,4.7665186,0,0.8221016210888548,0.48768522061803066,Hybrid_GMM
9.47439,7.876799,0,0.9987259409208692,0.01066643782112543,Hybrid_GMM
11.14038,8.014117,0,0.9195873449548911,0.2921466305615082,Hybrid_GMM
7.2618446,1.6408336,2,0.9988111927911492,0.009194492513804262,Hybrid_GMM
8.601519,4.364872,0,0.7777861771498963,0.5320998195236933,Hybrid_GMM
2.0022051,7.0176435,1,1.0,1.8897423119231742e-43,Hybrid_GMM
14.353827,2.9560325,2,0.9221385443579979,0.2813589866033261,Hybrid_GMM
12.688649,4.3560114,2,0.9277018916351054,0.2672578614161631,Hybrid_GMM
9.954244,3.885889,0,0.9816150835463325,0.09549198979408478,Hybrid_GMM
11.010796,5.0768957,0,0.8023566984442893,0.5960421036915853,Hybrid_GMM
7.3533607,6.0418215,3,0.9842683788289568,0.0809384538501742,Hybrid_GMM
10.321193,3.538333,2,0.9491567266995693,0.20135375294378788,Hybrid_GMM
8.420582,4.0974817,0,0.9673642455780288,0.1461772405952249,Hybrid_GMM
10.132524,4.0896716,0,0.9552623002521445,0.18974458353956908,Hybrid_GMM
12.324536,4.4691167,2,0.8805958625694016,0.4037394991423771,Hybrid_GMM
14.658834,6.412581,1,0.5748274909566177,0.7469118067186857,Hybrid_GMM
12.955317,5.9342356,1,0.9999955566577943,6.165600412099788e-05,Hybrid_GMM
12.711431,5.0917363,0,0.5883824074683935,0.7433840119582883,Hybrid_GMM
2.6578696,7.035636,1,0.9999999999999964,1.1301082321427902e-13,Hybrid_GMM
8.283631,3.914239,0,0.8435372291217882,0.447223091652389,Hybrid_GMM
14.4850235,3.0778763,2,0.9544758970953361,0.18622838824408247,Hybrid_GMM
13.988463,1.8616328,2,0.5498438731898843,0.6951234563890453,Hybrid_GMM
8.99383,4.367624,0,0.6175458734233634,0.6705723446650452,Hybrid_GMM
13.404556,3.136837,2,0.9943650415761781,0.036296132034633194,Hybrid_GMM
11.450386,4.8862324,2,0.6298536579653709,0.7341456764457374,Hybrid_GMM
9.898381,4.041658,2,0.7447071497997702,0.5717480344014854,Hybrid_GMM
13.208102,2.6733587,2,0.9691347824862171,0.13912194957697938,Hybrid_GMM
14.135084,3.7594867,2,0.8322804815162577,0.4671575640148187,Hybrid_GMM
7.6644673,6.161369,0,0.9909237703521986,0.05227952482532188,Hybrid_GMM
12.608017,5.737319,1,0.999999999903892,2.342401517512457e-09,Hybrid_GMM
13.273038,6.2975454,0,0.9509721949870533,0.22412769474117555,Hybrid_GMM
6.572596,5.5421243,0,0.716715505693682,0.5960287121940934,Hybrid_GMM
9.600306,2.706479,2,0.9650039337931314,0.15193239530718744,Hybrid_GMM
8.878761,2.5464377,0,0.9793759286081654,0.10983944271156142,Hybrid_GMM
6.943664,1.997356,2,0.9837174233693814,0.08319559126643127,Hybrid_GMM
8.383999,2.9222972,0,0.9032407692583185,0.3185816530205607,Hybrid_GMM
8.684447,-0.15940207,2,0.9985894366345965,0.010668969449354398,Hybrid_GMM
10.408111,3.6253715,2,0.9312649469402381,0.25143698277399534,Hybrid_GMM
6.3368444,6.0556765,0,0.9473759932617798,0.20617149577560714,Hybrid_GMM
10.026808,4.1488256,0,0.995815372652259,0.029729577384590533,Hybrid_GMM
7.365067,4.7839847,0,0.9998279500958122,0.001688696665701052,Hybrid_GMM
10.791579,-0.24124143,2,0.9840782865794434,0.08188487772434921,Hybrid_GMM
14.920913,5.977114,2,0.6375444038368723,0.6804153696830008,Hybrid_GMM
12.903485,2.0187669,2,0.9885614569093922,0.06358691354251815,Hybrid_GMM
11.976432,1.8676848,0,0.6323011646546495,0.6770139316573206,Hybrid_GMM
3.360166,6.7946076,1,0.9999999997933298,4.815396586486905e-09,Hybrid_GMM
6.0968747,0.52315843,2,0.9999953819206525,6.13536287920856e-05,Hybrid_GMM
