umap_x,umap_y,cluster,confidence,model
10.212386,5.4175787,0,0.9770661793245986,GMM
8.678012,1.2414141,2,0.9999997274553624,GMM
8.739852,8.363049,0,0.9470765853015924,GMM
11.711959,3.332537,1,0.7162186970253512,GMM
10.557781,3.1008637,1,0.9229397446295696,GMM
10.089443,0.22610484,1,0.9977069191536565,GMM
8.462541,7.519043,0,0.9131923837778092,GMM
11.663114,11.098602,0,0.9977248806465095,GMM
10.415238,10.524252,0,0.8945141838528594,GMM
11.556165,9.74365,0,0.9665472754439818,GMM
9.621445,10.838174,3,0.7718598449881234,GMM
8.733554,9.961289,0,0.9952602089681143,GMM
11.830032,2.3401349,1,0.9669840373672454,GMM
10.437,5.547065,0,0.9721615957342858,GMM
11.244991,9.743148,0,0.9963804564980594,GMM
10.877014,3.4384522,0,0.5833350605774115,GMM
10.491714,12.197193,0,0.9997034958119879,GMM
9.695317,10.962316,0,0.9981790167448115,GMM
10.283588,2.7076426,1,0.9940797349080324,GMM
12.915825,13.784796,0,0.9989960559024178,GMM
9.15872,0.8481027,1,0.9815471517891111,GMM
11.844336,9.343285,0,0.9943381439440666,GMM
11.596383,1.3095294,1,0.9974660260555223,GMM
12.000735,7.5468693,0,0.9390808832655496,GMM
12.049519,9.696508,0,0.9761567257601692,GMM
10.722815,5.7151465,0,0.6640261173312906,GMM
10.099386,7.895928,0,0.9979680128759364,GMM
7.399302,2.8201122,2,0.9889523841372669,GMM
11.007824,3.5973382,1,0.8571745640861208,GMM
9.887361,3.8110197,1,0.7100213289894819,GMM
12.849045,12.729826,0,0.9751941788810478,GMM
11.102196,8.38274,0,0.9935767302349003,GMM
11.7730665,-0.37454394,1,0.6929306899876857,GMM
7.745224,9.522135,1,0.691636706194576,GMM
11.97809,1.4026767,1,0.9898235599005096,GMM
11.61968,-0.13318299,1,0.882267580282999,GMM
7.8031497,10.742718,0,0.9994154956717217,GMM
12.82496,10.2646675,0,0.9958898336342676,GMM
10.0209675,5.8068953,0,0.6119424973893267,GMM
9.830509,5.1056757,1,0.8451504072080012,GMM
12.616326,13.78713,0,0.9998064585835272,GMM
6.883605,10.034948,0,0.9968786793336837,GMM
9.007309,4.9726863,1,0.6879397169698466,GMM
8.696865,4.9229293,1,0.9917755437946351,GMM
10.634518,8.857325,0,0.9959355589280782,GMM
8.009841,11.052809,0,0.9852364515568115,GMM
11.678062,13.19513,0,0.9997471127898976,GMM
8.33378,7.0603414,2,0.9997934434019816,GMM
9.854583,9.019675,0,0.9963629084533521,GMM
9.57077,0.081375025,1,0.9906782924896865,GMM
12.052603,3.834174,1,0.5409721459852866,GMM
9.76037,0.7080084,1,0.9965941284677794,GMM
9.531131,0.8023933,1,0.9817555069974092,GMM
11.072758,4.256366,1,0.8804341535331592,GMM
8.99463,1.8354853,1,0.9702447284087177,GMM
10.107736,8.946535,0,0.9974854962246981,GMM
11.426316,0.10404524,1,0.7396980895242973,GMM
9.594469,1.1055497,3,0.9628670417562987,GMM
7.7033577,11.112246,0,0.9999878651849371,GMM
10.629927,8.906393,0,0.9954851218601717,GMM
6.212266,2.5954118,2,0.9999999999991669,GMM
10.491591,9.464069,0,0.9996732661100818,GMM
11.105867,4.0134883,1,0.9563544797568564,GMM
9.723311,0.3740791,1,0.9909594210127106,GMM
9.105679,4.26738,1,0.9764168228002634,GMM
9.501522,3.8335814,1,0.8326535283236176,GMM
10.961658,0.9483091,1,0.9981572383354557,GMM
10.132668,3.5573416,1,0.9807449093089088,GMM
11.267851,9.523149,0,0.9770812604657728,GMM
9.071989,8.208341,0,0.9988917846183382,GMM
12.407468,3.4619844,0,0.9249562809027988,GMM
11.476343,4.4780893,0,0.7586761691614907,GMM
10.428357,11.917425,0,0.9999252974861246,GMM
9.670774,3.1398976,2,0.9914150009110413,GMM
12.244747,8.833868,0,0.977569219165441,GMM
7.928443,9.532753,0,0.9957663571145773,GMM
7.8140893,10.038068,0,0.9996013911277192,GMM
10.832387,4.4672027,0,0.6637791357417439,GMM
10.122482,2.663833,1,0.9788241615267834,GMM
11.790095,5.770088,1,0.861688326518676,GMM
8.110001,6.1449137,0,0.9689635408387608,GMM
10.533058,11.610761,0,0.999480132091801,GMM
8.816736,-0.6405181,2,0.9722655121141217,GMM
11.200599,3.7316577,1,0.5419951615738807,GMM
12.42254,13.175273,0,0.9960286247228679,GMM
10.925257,2.0574002,1,0.9963028442374611,GMM
10.4971485,9.065594,0,0.9960788949963859,GMM
12.379218,1.9013094,1,0.9842376670093547,GMM
11.67197,6.00049,0,0.8709544897473906,GMM
4.3640857,2.3048718,2,1.0,GMM
9.654525,1.3701355,1,0.888153822278149,GMM
7.7032704,8.264676,0,0.9437259336858405,GMM
11.43798,4.7120857,0,0.7502552853519261,GMM
12.3878355,1.836825,1,0.9271199739063444,GMM
7.182569,8.009398,0,0.6129113304277379,GMM
11.399137,1.3494574,1,0.9895932154733056,GMM
11.524281,3.3053632,1,0.5530195362723634,GMM
8.878131,10.306889,0,0.9997442618850706,GMM
9.233028,5.672663,1,0.857728975609719,GMM
12.267302,-0.7947506,3,0.9997768702244169,GMM
10.045215,7.303156,0,0.9894811229057056,GMM
12.983802,13.446786,0,0.9940076509290445,GMM
8.864182,4.724258,0,0.6510193577110663,GMM
9.657394,-0.7204858,1,0.9931499472645824,GMM
9.547009,8.088173,0,0.9815876469710824,GMM
9.935353,-0.3606474,3,0.9926510739929867,GMM
10.544629,12.349023,0,0.999033586997386,GMM
9.927042,8.991101,0,0.9957437541675825,GMM
9.107494,2.4433393,1,0.9524007988027605,GMM
7.158317,9.54142,0,0.5716268932395685,GMM
9.681802,10.819528,0,0.9996449330299723,GMM
10.499227,9.218268,0,0.9996124330915744,GMM
9.241751,7.1673927,0,0.9766347116090983,GMM
6.6296773,9.306884,0,0.9997765208318374,GMM
12.988687,10.111043,0,0.9548567794322096,GMM
