k,silhouette,bic,log_likelihood,calinski_harabasz,davies_bouldin,model
2,0.2579746649562006,2390929.773584441,-1194805.8290200836,32709.678469979186,1.8799795267054926,Hybrid_GMM
3,0.22298689967770624,2255910.520353104,-1126963.6503175574,28754.496153420132,2.066420492061701,Hybrid_GMM
4,0.12852652513928647,2234540.067015456,-1115945.8715618756,27991.504180872053,2.022795351374759,Hybrid_GMM
5,0.11593974474771389,2174658.227906617,-1085672.399920598,19289.328898141786,3.345875716051387,Hybrid_GMM
6,0.1003200055014225,2141473.100864064,-1068747.2843124636,21962.51995646027,2.576072596614943,Hybrid_GMM
7,0.07198828584787088,2119959.5995205357,-1057657.9815538414,20463.46377645078,2.2276396844207143,Hybrid_GMM
8,0.07215715928043835,2110351.2055416023,-1052521.2324775169,19079.827646273214,2.384926187783889,Hybrid_GMM
9,0.0887971792624928,2098275.442773696,-1046150.7990067056,19177.024063678073,2.273220823749415,Hybrid_GMM
